intent,text,response
selamlama,Merhaba,"Merhaba, ben Hukuki Yardım Botu. Size nasıl yardımcı olabilirim?"
selamlama,"Selam, kolay gelsin","Merhaba, ben Hukuki Yardım Botu. Size nasıl yardımcı olabilirim?"
depozito_iadesi,"Ev sahibi depozitomu geri vermiyor, ne yapabilirim?","Türk Borçlar Kanunu’na göre kiracı konuttan çıktıktan sonra, eğer zararsız teslim ettiyse, depozito 3 ay içinde iade edilmelidir."
depozito_iadesi,Kira depozitosu iade süresi ne kadar?,"Türk Borçlar Kanunu’na göre kiracı konuttan çıktıktan sonra, eğer zararsız teslim ettiyse, depozito 3 ay içinde iade edilmelidir."
isten_cikarma,"Patronum beni işten çıkardı, tazminat alabilir miyim?","4857 sayılı İş Kanunu’na göre, 1 yılı geçen çalışmalarda kıdem tazminatı hakkı vardır."
bosanma_bilgi,Boşanma davası nasıl açılır?,Anlaşmalı boşanmalarda tarafların en az 1 yıl evli olması ve protokol imzalaması gerekir.
velayet_hakki,Çocuğumun velayeti bana verilir mi?,Çocuğun üstün yararı gözetilerek velayet kararı verilir.
nafaka,Nafaka ne kadar süre ödenir?,"Yoksulluk nafakası süresiz olabilir, ancak koşullara göre artırılabilir veya kaldırılabilir."
tuketici_iade,Aldığım ürünü iade edebilir miyim?,"Tüketici Kanunu’na göre, 14 gün içinde cayma hakkınız vardır."
miras,Miras nasıl paylaşılır?,"Miras, yasal mirasçılara paylaştırılır. Vasiyetname ile farklı kişiler belirlenebilir."
icra_takibi,"Eve icra kağıdı geldi, nedir bu?",Size gelen icra tebligatına 7 gün içinde itiraz etmezseniz borç kesinleşir.
isim_degistirme,Adımı değiştirebilir miyim?,İsim ve soyadı değişiklikleri mahkeme kararıyla yapılır.
sicil_temizleme,Adli sicil kaydım nasıl silinir?,Adli sicil kaydı belirli bir süre sonunda silinebilir.
uzaklastirma_emri,Uzaklaştırma nasıl çıkartılır?,6284 sayılı Kanun kapsamında Aile Mahkemesi’nden geçici uzaklaştırma kararı alınabilir.
trafik_cezasi_itiraz,Trafik cezasına nasıl itiraz ederim?,Ceza tebliğinden itibaren 15 gün içinde Sulh Ceza Hakimliğine başvurmalısınız.
evlilik_islemleri,Evlenmek için hangi belgeler gerekiyor?,"Nüfus kayıt örneği, sağlık raporu ve vesikalık fotoğraf gereklidir."
vatandaslik_basvurusu,Türk vatandaşlığına nasıl başvurabilirim?,En az 5 yıl Türkiye’de kesintisiz ikamet şartıyla vatandaşlık başvurusu yapılabilir.
sahte_urun,"İnternetten sahte ürün aldım, şikayet edebilir miyim?",Sahte ürün şikayetleri için Tüketici Hakem Heyeti’ne başvurabilirsiniz.
